,CHCE,CHCH,CHH (EJP),CHPE,CHPH,CODE POSTAL,CP,CP (EJP),Département,Electricité 100% verte (oui/non),HCE,HCH,HH (EJP),HPE,HPH,Ministère (Client),P,P (EJP),Région,TOTAL,Unnamed: 0,Unnamed: 0.1
148,2459.0,6952.0,,13665.0,31751.0,52100.0,0.0,,HAUTE-MARNE,OUI,54.0,54.0,,54.0,54.0,Ministères économiques et financiers,,,CHAMPAGNE-ARDENNE,54827,839,
149,22427.0,20290.0,,62376.0,53469.0,88000.0,10917.0,,VOSGES,OUI,79.0,79.0,,79.0,79.0,Ministères économiques et financiers,79.0,,LORRAINE,169479,850,
150,14282.0,10917.0,,35474.0,25346.0,88200.0,4580.0,,VOSGES,OUI,44.0,44.0,,44.0,44.0,Ministères économiques et financiers,44.0,,LORRAINE,90599,859,
151,4385.0,3449.0,,18758.0,14863.0,88300.0,0.0,,VOSGES,OUI,54.0,54.0,,54.0,54.0,Ministères économiques et financiers,,,LORRAINE,41455,864,
152,9771.0,7060.0,,29971.0,24210.0,88100.0,0.0,,VOSGES,OUI,120.0,120.0,,120.0,120.0,Ministères économiques et financiers,120.0,,LORRAINE,71012,889,
153,9796.0,3696.0,,25762.0,23957.0,57400.0,3546.0,,MOSELLE,OUI,38.0,38.0,,38.0,38.0,Ministères économiques et financiers,38.0,,LORRAINE,66757,897,
154,9341.0,6487.0,,39968.0,30671.0,57200.0,0.0,,MOSELLE,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,,,LORRAINE,86467,907,
155,18948.0,14693.0,,40541.0,33231.0,54150.0,0.0,,MEURTHE-ET-MOSELLE,OUI,54.0,54.0,,54.0,54.0,Ministères économiques et financiers,,,LORRAINE,107413,915,
156,13757.0,9689.0,,35650.0,24833.0,54400.0,4898.0,,MEURTHE-ET-MOSELLE,OUI,45.0,45.0,,45.0,45.0,Ministères économiques et financiers,45.0,,LORRAINE,88827,926,
157,36324.0,52422.0,,81963.0,86980.0,68100.0,16820.0,,HAUT-RHIN,OUI,130.0,130.0,,130.0,130.0,Ministères économiques et financiers,130.0,,ALSACE,274509,928,
158,18818.0,11405.0,,65007.99999999999,40018.0,68100.0,8108.000000000001,,HAUT-RHIN,OUI,66.0,66.0,,66.0,66.0,Ministères économiques et financiers,66.0,,ALSACE,143357,929,
159,7132.0,5869.0,,36071.0,30858.0,67600.0,0.0,,BAS-RHIN,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,,,ALSACE,79930,930,
160,11398.0,11615.0,,44392.0,39192.0,68097.0,1837.0,,,OUI,66.0,66.0,,66.0,66.0,Ministères économiques et financiers,66.0,,ALSACE,108434,940,
161,3027.0,2124.0,,15003.0,11530.0,68100.0,0.0,,HAUT-RHIN,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,,,ALSACE,31684,941,
162,7161.0,5421.0,,26154.0,21677.0,68130.0,0.0,,HAUT-RHIN,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,ALSACE,60413,942,
163,17398.0,14131.0,,36469.0,27300.0,70000.0,5558.0,,HAUTE-SAONE,OUI,45.0,45.0,,45.0,45.0,Ministères économiques et financiers,45.0,,FRANCHE-COMTE,100856,959,
164,16190.999999999998,10896.0,,35614.0,25533.0,70000.0,0.0,,HAUTE-SAONE,OUI,54.0,48.0,,54.0,48.0,Ministères économiques et financiers,48.0,,FRANCHE-COMTE,88234,1001,
165,13742.0,12965.0,,60446.0,57059.0,25200.0,0.0,,DOUBS,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,60.0,,FRANCHE-COMTE,144212,1043,
166,4309.0,6190.0,,16636.0,23106.0,70000.0,0.0,,HAUTE-SAONE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,FRANCHE-COMTE,50241,1046,
167,13075.0,13613.0,,47005.0,49020.0,90000.0,0.0,,TERRITOIRE DE BELFORT,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,,,FRANCHE-COMTE,122713,1088,
168,3681.0,4751.0,,10134.0,11785.0,90100.0,0.0,,TERRITOIRE DE BELFORT,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,FRANCHE-COMTE,30351,1089,
169,10863.0,7427.0,,26154.0,22480.0,39800.0,0.0,,JURA,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,FRANCHE-COMTE,66924,1108,
170,24579.0,25324.0,,83535.0,82642.0,25000.0,0.0,,DOUBS,OUI,84.0,84.0,,84.0,84.0,Ministères économiques et financiers,84.0,,FRANCHE-COMTE,216080,1135,
171,17576.0,15485.0,,66368.0,60084.0,25000.0,0.0,,DOUBS,OUI,96.0,96.0,,96.0,96.0,Ministères économiques et financiers,96.0,,FRANCHE-COMTE,159513,1136,
172,40727.0,84785.0,,25983.0,18061.0,25300.0,4067.0,,DOUBS,OUI,116.0,116.0,,116.0,116.0,Ministères économiques et financiers,96.0,,FRANCHE-COMTE,173623,1137,
173,5795.0,6258.0,,19478.0,21508.0,39200.0,0.0,,JURA,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,FRANCHE-COMTE,53039,1150,
174,4180.0,4868.0,,15209.0,32533.0,39000.0,0.0,,JURA,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,FRANCHE-COMTE,56790,1157,
175,42438.0,8893.0,,12056.0,18506.0,25000.0,0.0,,DOUBS,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,42.0,,FRANCHE-COMTE,81893,1158,
176,12353.0,9509.0,,33066.0,24078.0,39000.0,5215.0,,JURA,OUI,44.0,44.0,,44.0,44.0,Ministères économiques et financiers,44.0,,FRANCHE-COMTE,84221,1159,
177,7562.0,25783.0,,22996.0,55775.0,25480.0,0.0,,DOUBS,OUI,66.0,66.0,,66.0,66.0,Ministères économiques et financiers,66.0,,FRANCHE-COMTE,112116,1160,
178,15899.0,13192.0,,57843.0,42904.0,39000.0,7692.0,,JURA,OUI,78.0,78.0,,78.0,78.0,Ministères économiques et financiers,78.0,,FRANCHE-COMTE,137530,1163,
179,13085.0,10917.0,,36645.0,30484.0,25000.0,0.0,,DOUBS,OUI,54.0,54.0,,54.0,54.0,Ministères économiques et financiers,,,FRANCHE-COMTE,91131,1164,
180,7732.0,5081.0,,29997.0,18685.0,25000.0,0.0,,DOUBS,OUI,72.0,72.0,,72.0,72.0,Ministères économiques et financiers,,,FRANCHE-COMTE,61495,1165,
181,18235.0,13023.0,,63610.0,49949.0,25000.0,0.0,,DOUBS,OUI,120.0,120.0,,120.0,120.0,Ministères économiques et financiers,,,FRANCHE-COMTE,144817,1166,
182,16795.0,15059.0,,58449.0,52984.0,75010.0,0.0,,PARIS,OUI,54.0,54.0,,54.0,54.0,Ministères économiques et financiers,54.0,,ILE-DE-FRANCE,143287,1167,
183,19166.0,16641.0,,84955.0,71392.0,75010.0,0.0,,PARIS,OUI,108.0,108.0,,108.0,108.0,Ministères économiques et financiers,,,ILE-DE-FRANCE,192154,1168,
184,18002.0,15219.0,,72303.0,64631.0,75003.0,0.0,,PARIS,OUI,204.0,204.0,,204.0,204.0,Ministères économiques et financiers,,,ILE-DE-FRANCE,170155,1169,
185,14102.0,10157.0,,48047.0,40608.0,75001.0,0.0,,PARIS,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,60.0,,ILE-DE-FRANCE,112914,1170,
186,7495.0,5077.0,,56694.0,39819.0,75003.0,0.0,,PARIS,OUI,84.0,84.0,,84.0,84.0,Ministères économiques et financiers,,,ILE-DE-FRANCE,109085,1171,
187,11869.0,9998.0,,40597.0,33203.0,75003.0,0.0,,PARIS,OUI,168.0,156.0,,168.0,156.0,Ministères économiques et financiers,156.0,,ILE-DE-FRANCE,95667,1172,
188,42549.0,38850.0,,169383.0,156073.0,75002.0,0.0,,PARIS,OUI,168.0,168.0,,168.0,168.0,Ministères économiques et financiers,168.0,,ILE-DE-FRANCE,406855,1173,
189,10711.0,22243.0,,47247.0,70084.0,75001.0,0.0,,PARIS,OUI,180.0,180.0,,180.0,180.0,Ministères économiques et financiers,180.0,,ILE-DE-FRANCE,150285,1174,
190,23211.0,18503.0,,97556.0,82560.0,75002.0,0.0,,PARIS,OUI,192.0,192.0,,192.0,192.0,Ministères économiques et financiers,,,ILE-DE-FRANCE,221830,1175,
191,37430.0,22462.0,,107362.0,68738.0,75003.0,0.0,,PARIS,OUI,90.0,90.0,,90.0,90.0,Ministères économiques et financiers,,,ILE-DE-FRANCE,235992,1176,
192,15723.0,29156.0,,54801.0,88279.0,75011.0,0.0,,PARIS,OUI,102.0,102.0,,102.0,102.0,Ministères économiques et financiers,102.0,,ILE-DE-FRANCE,187959,1177,
193,24073.0,19284.0,,113014.0,96827.0,75011.0,0.0,,PARIS,OUI,144.0,144.0,,144.0,144.0,Ministères économiques et financiers,,,ILE-DE-FRANCE,253198,1178,
194,1683.0,5861.0,,4382.0,12880.0,75020.0,0.0,,PARIS,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,,,ILE-DE-FRANCE,24806,1179,
195,6527.0,16105.0,,24183.0,42059.0,75020.0,0.0,,PARIS,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,,,ILE-DE-FRANCE,88874,1180,
196,5228.0,12361.0,,24377.0,34724.0,75020.0,0.0,,PARIS,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,,,ILE-DE-FRANCE,76690,1181,
197,3567.0,12350.0,,18290.0,34124.0,75020.0,0.0,,PARIS,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,,,ILE-DE-FRANCE,68331,1182,
